tools,repo_name_meta,repo_version,matched_comps,author_score,type_score,purl_score,cpe_score,license_score,version_score
syft+gh-sbom,0.0,0.0,0.0915,0.0,0.2014,0.1941,0.0,0.0009,0.1913
syft+ort,0.0,0.0,0.0121,0.0,0.0,0.0287,0.0,0.0,0.0308
syft+scancode,0.0,0.0,0.0041,0.0059,0.0568,0.0544,0.0,0.0095,0.0489
syft+cdxgen,0.1232,0.0,0.1205,0.0,0.2787,0.2331,0.0,0.0011,0.2848
gh-sbom+ort,0.0,0.0,0.0354,0.0,0.0,0.0889,0.0,0.0171,0.0928
gh-sbom+scancode,0.0,0.0,0.0018,0.0,0.0344,0.03,0.0,0.0035,0.0307
gh-sbom+cdxgen,0.0,0.0,0.4579,0.0,0.3864,0.8212,0.0,0.0174,0.726
ort+scancode,0.0,0.0,0.0009,0.0,0.0,0.0032,0.0,0.0014,0.0035
ort+cdxgen,0.0,0.0,0.0298,0.0,0.0,0.0552,0.0,0.0026,0.0579
scancode+cdxgen,0.0,0.0,0.0033,0.006,0.0452,0.0444,0.0,0.0066,0.0461
