tools,repo_name_meta,repo_version,matched_comps,author_score,type_score,purl_score,cpe_score,license_score,version_score
syft+gh-sbom,0.0,0.0,0.4529,0.0,0.7313,0.7255,0.0,0.0033,0.6084
syft+ort,0.0,0.0,0.0594,0.0,0.0,0.1449,0.0,0.0012,0.1451
syft+scancode,0.0,0.0,0.0302,0.0031,0.1729,0.1691,0.0,0.006,0.1667
syft+cdxgen,0.3017,0.0,0.639,0.0,0.7663,0.7199,0.0,0.0032,0.8573
gh-sbom+ort,0.0,0.0,0.1832,0.0,0.0,0.5749,0.0,0.3077,0.5664
gh-sbom+scancode,0.0,0.0,0.0242,0.0,0.3047,0.2989,0.0,0.0057,0.2865
gh-sbom+cdxgen,0.0,0.0,0.3474,0.0,0.4964,0.8067,0.0,0.2997,0.8654
ort+scancode,0.0,0.0,0.0003,0.0,0.0,0.0072,0.0,0.0016,0.0065
ort+cdxgen,0.0,0.0,0.1139,0.0,0.0,0.1202,0.0,0.0611,0.1434
scancode+cdxgen,0.0,0.0,0.0166,0.0,0.1203,0.1335,0.0,0.0373,0.1562
