tools,repo_name_meta,repo_version,matched_comps,author_score,type_score,purl_score,cpe_score,license_score,version_score
syft+gh-sbom,0.0,0.0,0.2387,0.0,0.4443,0.4415,0.0,0.0013,0.4392
syft+ort,0.0,0.0,0.0305,0.0,0.0,0.0614,0.0,0.0,0.0646
syft+scancode,0.0,0.0,0.0042,0.0051,0.0267,0.0265,0.0,0.0077,0.025
syft+cdxgen,0.3371,0.0,0.1724,0.0,0.2967,0.3454,0.0,0.0019,0.3497
gh-sbom+ort,0.0,0.0,0.0969,0.0,0.0,0.2054,0.0,0.039,0.1919
gh-sbom+scancode,0.0,0.0,0.0017,0.0,0.0237,0.0224,0.0,0.0034,0.0123
gh-sbom+cdxgen,0.0,0.0,0.3283,0.0,0.5165,0.7285,0.0,0.0922,0.701
ort+scancode,0.0,0.0,0.0001,0.0,0.0,0.0012,0.0,0.0,0.0012
ort+cdxgen,0.0,0.0,0.1488,0.0,0.0,0.243,0.0,0.0293,0.2457
scancode+cdxgen,0.0,0.0,0.0029,0.0036,0.0323,0.033,0.0,0.005,0.0295
