tools,repo_name_meta,repo_version,matched_comps,author_score,type_score,purl_score,cpe_score,license_score,version_score
syft+gh-sbom,0.0,0.0,0.053,0.0,0.1648,0.1582,0.0,0.0077,0.1508
syft+ort,0.6359,0.0,0.0054,0.0,0.0187,0.0168,0.0,0.001,0.0187
syft+scancode,0.0,0.0,0.0099,0.0116,0.0922,0.0896,0.0,0.0173,0.0818
syft+cdxgen,0.193,0.0,0.0727,0.0,0.1774,0.1738,0.0,0.005,0.1788
gh-sbom+ort,0.0,0.0,0.0267,0.0,0.0628,0.0519,0.0,0.0095,0.0589
gh-sbom+scancode,0.0,0.0,0.0033,0.0,0.0287,0.0262,0.0,0.0055,0.0248
gh-sbom+cdxgen,0.0,0.0,0.4427,0.0,0.1549,0.8163,0.0,0.024,0.6713
ort+scancode,0.0,0.0,0.0005,0.0,0.0037,0.0033,0.0,0.0022,0.0037
ort+cdxgen,0.164,0.0785,0.0188,0.0,0.0354,0.0346,0.0,0.0041,0.0356
scancode+cdxgen,0.0,0.0,0.0048,0.0,0.0478,0.0493,0.0,0.0079,0.0495
