tools,repo_name_meta,repo_version,matched_comps,author_score,type_score,purl_score,cpe_score,license_score,version_score
syft+gh-sbom,0.0,0.0,0.3166,0.0,0.7159,0.7064,0.0,0.0077,0.6051
syft+ort,0.6437,0.0,0.0195,0.0,0.0621,0.0615,0.0,0.0011,0.0614
syft+scancode,0.0,0.0,0.0456,0.0032,0.306,0.2987,0.0,0.0151,0.3009
syft+cdxgen,0.426,0.0,0.3401,0.0,0.7856,0.717,0.0,0.0029,0.8528
gh-sbom+ort,0.0,0.0,0.1152,0.0,0.3415,0.337,0.0,0.1711,0.3275
gh-sbom+scancode,0.0,0.0,0.0218,0.0,0.2509,0.2465,0.0,0.0139,0.2366
gh-sbom+cdxgen,0.0,0.0,0.3149,0.0,0.4626,0.7753,0.0,0.0022,0.8071
ort+scancode,0.0,0.0,0.0003,0.0,0.0049,0.0046,0.0,0.0013,0.0043
ort+cdxgen,0.41,0.3341,0.0406,0.0,0.0469,0.0472,0.0,0.0004,0.0565
scancode+cdxgen,0.0,0.0,0.0108,0.0,0.1099,0.1083,0.0,0.0011,0.1264
