tools,repo_name_meta,repo_version,matched_comps,author_score,type_score,purl_score,cpe_score,license_score,version_score
syft+gh-sbom,0.0,0.0,0.2018,0.0,0.4534,0.4459,0.0,0.0063,0.4298
syft+ort,0.6439,0.0,0.0144,0.0,0.0448,0.0416,0.0,0.0,0.0445
syft+scancode,0.0,0.0,0.0463,0.1553,0.2567,0.2554,0.0,0.0818,0.2494
syft+cdxgen,0.3458,0.0,0.159,0.0,0.2759,0.3332,0.0,0.004,0.3333
gh-sbom+ort,0.0,0.0,0.0466,0.0,0.1178,0.1038,0.0,0.0358,0.1022
gh-sbom+scancode,0.0,0.0,0.0015,0.0,0.023,0.0217,0.0,0.0047,0.0119
gh-sbom+cdxgen,0.0,0.0,0.4701,0.0,0.5112,0.7808,0.0,0.111,0.7535
ort+scancode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ort+cdxgen,0.2522,0.2013,0.0459,0.0,0.0765,0.0758,0.0,0.0215,0.0733
scancode+cdxgen,0.0,0.0,0.0024,0.0,0.0286,0.0293,0.0,0.0061,0.027
